type_specifier/VOID (Col:5,Ln:1) 0
declaration_specifiers/type_specifier (Col:10,Ln:1) 1
direct_declarator/IDENTIFIER (Col:10,Ln:1) 2
direct_declarator/direct_declarator '(' ')' (Col:12,Ln:1) 3

declarator/direct_declarator (Col:2,Ln:2) 4

expression_statement/';' (Col:2,Ln:3) 5
statement/expression_statement (Col:2,Ln:3) 6
statement_list/statement (Col:2,Ln:3) 7

compound_statement/'{' statement_list '}' (Col:2,Ln:4) 8
function_definition/declaration_specifiers declarator compound_statement (Col:2,Ln:4) 9
external_declaration/function_definition (Col:2,Ln:4) 10
translation_unit/external_declaration (Col:2,Ln:4) 11
